,Age,Recency,Promos_Total,Education,Complain,Response,Partner,Kidhome,Teenhome,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8
0,3,1,0,1,0,1,1,0,0,3.893245225565954,0.919138835219834,1.8978460257956835,-0.19578984206625386,1.8977240272222222,1.5306836845624296,0.3544199290226675,0.5917705361791712
1,3,1,0,1,0,0,1,1,1,-2.450676684433452,-0.9590909872334036,-0.20855933013700267,-0.015489253027238862,-0.3691683681736635,0.2996463139090343,0.16385151529002445,-0.12616905820645757
2,2,0,0,1,0,0,1,0,0,1.780033831607015,0.09826573851780789,-0.13849895361278355,-0.20931220480515955,-0.10427983574244944,-1.5936454922372845,-0.6961868561046419,1.218860151678347
3,1,0,0,1,0,0,1,1,0,-2.665159635894388,-0.5180171916323018,0.12064217839643547,-0.19306703580729523,-0.10115013078990458,-0.03254705555133494,-0.13848448953414744,0.17402529453610657
4,1,3,0,2,0,0,0,1,0,-0.03534680940075423,0.7253829325121155,0.30512634008835543,-1.026772560797639,-0.7258250567530284,0.18524812456980108,-0.034450271688707165,-0.16080969229272146
5,2,0,0,2,0,0,1,0,1,0.7082371746929262,0.733079952862694,-0.7766498988370653,-0.7425063501072089,0.11699640535797773,-0.9288622884839763,-0.3721595509879142,-0.3736791680995791
6,2,1,0,1,0,0,0,0,1,0.6234219302301195,0.9543703617125402,0.7183827079514729,-1.025182438343434,0.025571884725877687,-0.46255409467536424,-0.18316169993572942,-0.3052923827711776
7,1,1,0,2,0,0,0,1,0,-2.2557032719317807,0.18888857825968147,0.1075160268598703,0.09952023956343788,0.6090910335584757,-0.3182892825248192,-0.19387247417867312,-0.028698604203056196
8,2,0,0,2,0,1,1,1,0,-3.0181352493884512,-0.3184585450446783,0.13989159352157723,0.06825555707465926,1.2021029094033855,-0.1827561921893548,0.009781493293222114,0.10761840549166192
9,3,2,1,2,0,0,1,1,1,-4.915744902359994,1.1228488215419792,1.340885598389751,0.36896674346376573,4.191198164733974,0.858189585228688,-0.46966071546688354,0.15022669032828
10,1,1,0,0,0,0,0,0,0,-3.1375012100215987,-0.5590507191487778,0.6494434610196862,0.19593409399552952,0.8506714326783861,-0.002100088788319546,-0.4474415950467048,0.12177350427342686
11,3,2,0,1,0,0,0,0,0,3.563044820032509,-2.257671711428067,1.6311282563126137,-1.3067589374684114,-0.09273831033682801,0.24064564439940114,0.709151018186944,1.638145280736383
12,3,1,0,2,0,0,0,1,1,-1.1481317498283687,0.6972323372641561,-0.6749003128557695,-0.23308589642184654,-0.047666842897572455,-0.5960952382869458,0.18428057866050185,0.003714799016223473
13,1,1,0,1,0,0,0,0,0,-2.9958542235709436,-0.8712618249683616,0.3294513256393232,0.0409259568531306,0.7527002659945082,0.10621209029002851,-0.3824763464706755,-0.025382731117748476
14,3,0,2,2,0,1,1,0,0,3.3349854122021036,0.4266609894471149,-1.5765126726461829,-0.21981615350445882,-0.12811459209767548,-1.1504632006001758,0.32391989643161245,0.4613428328154476
15,1,1,0,1,0,0,0,1,1,-2.5011352784935283,0.2213912739700614,0.13582104846016646,-0.40736627650935714,0.38108916030538803,-0.00031362680599865883,0.1527967732029951,-0.14874999606347106
16,3,0,0,1,0,0,1,0,0,-0.9466458990986785,-0.12178757101868733,1.0466237968301386,-0.19635246600741016,0.2416585097990877,-0.19015200409593433,-0.130146779909805,2.1925066650998484
17,3,3,1,2,0,0,0,0,1,3.9016027735176078,2.0968326870904175,-0.6231726840870674,1.9084766993971125,0.8235939989584957,-0.6774132332637458,-1.006889555731351,-1.1973668316708586
18,1,2,0,0,0,0,1,1,0,-2.005168353431121,-0.5753436099610808,0.7821488411913968,0.15131021007935372,-0.036289781391699666,0.07198501789926808,0.13878871876685386,0.019107194028358056
19,1,1,0,1,0,0,0,0,0,-0.8543772893641444,-0.35163921696336015,0.6258194466889527,0.344681480771288,0.8261614625860424,-0.404072580236998,0.5584236352896025,0.6754060402979154
20,1,1,0,1,0,0,0,1,0,2.828938831047862,2.2737218930690677,-0.13097097686379125,-1.9449092420375216,-2.0921262946730703,11.166477516507891,2.1781047678907095,-1.9163831657928074
21,3,2,1,2,0,0,0,0,1,-0.02543031633472503,1.0235705243736328,-1.745685517025303,-0.15260142215325512,0.3695927401895178,0.5444379325836379,-0.602542756142774,0.10550353647533947
22,3,0,0,2,0,0,0,0,1,0.31505031427366365,0.48295575316755274,-1.1192260167203283,-0.7793009763215325,-0.7126297363716678,-0.8736206641754443,0.40573054748871257,0.23744382408707318
